"CoverageClass","MetadataKinds","DefName","Label","ModName","PackageId","BaseCost","BuildingCount","TerrainCount","Terrains","RecipeCount","SurgeryCount","Recipes","NonBuildingThingCount","NonBuildingThings","RequiredAnalyzedCount","RequiredAnalyzed","Techprint","ResearchModCount","ResearchModTypes","PrerequisiteCount","Prerequisites"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_ProtectiveClothing","Protective clothing","Medieval Overhaul","DankPyon.Medieval.Overhaul","1000","0","0","","9","0","Make_DankPyon_Apparel_ChaussesPadded;Make_DankPyon_Apparel_Light_Lamellar;Make_DankPyon_Apparel_Padded_Leather;Make_DankPyon_Footwear_BootsLeather;Make_DankPyon_Handwear_GlovesLeather;Make_DankPyon_Headgear_PaddedFlatTopHelmet;Make_DankPyon_Headgear_PaddedKettleHelmet;Make_DankPyon_Headgear_PaddedNasalHelmet;Make_DankPyon_Headgear_ZweihandersHat","9","DankPyon_Apparel_ChaussesPadded;DankPyon_Apparel_Light_Lamellar;DankPyon_Apparel_Padded_Leather;DankPyon_Footwear_BootsLeather;DankPyon_Handwear_GlovesLeather;DankPyon_Headgear_PaddedFlatTopHelmet;DankPyon_Headgear_PaddedKettleHelmet;DankPyon_Headgear_PaddedNasalHelmet;DankPyon_Headgear_ZweihandersHat","0","","","0","","1","LemonSkin_RusticClothing"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_Tar","Tar","Medieval Overhaul","DankPyon.Medieval.Overhaul","400","0","0","","6","0","DankPyon_MakeBullet_StoneBoulderTarred;DankPyon_MakeBullet_StoneBoulderTarredBulk;DankPyon_MakeTar;DankPyon_MakeTarBulk;DankPyon_Make_Tar;DankPyon_Make_TarBulk","2","DankPyon_StoneBoulderTarred;DankPyon_Tar","0","","","0","","1","DankPyon_Alchemy"
"ThematicMetadata","NonBuildingThing","DankPyon_TreeGriffonBerry","Griffon berry","Medieval Overhaul","DankPyon.Medieval.Overhaul","900","0","0","","0","0","","1","DankPyon_Tree_GriffonBerry","0","","","0","","1","Cocoa"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_WarBow","War bow","Medieval Overhaul","DankPyon.Medieval.Overhaul","700","0","0","","1","0","Make_Bow_War","1","Bow_War","0","","","0","","1","Greatbow"
"ThematicMetadata","OtherRecipe;NonBuildingThing","InfectionFreezingSerum","Infection freezing serum","Cybranian - Anomaly Lord of the Flies","DimonSever000.AnomalyFlylord","0","0","0","","1","0","Make_InfectionFreezingSerum","1","InfectionFreezingSerum","0","","","0","","1","MetalbloodSerum"
"ThematicMetadata","OtherRecipe;NonBuildingThing","HygieneBionics","Hygiene bionics","Dubs Bad Hygiene","Dubwise.DubsBadHygiene","2500","0","0","","2","0","Make_BionicBladder;Make_HygieneEnhancer","2","BionicBladder;HygieneEnhancer","0","","","0","","3","Fabrication;Prosthetics;WaterFiltration"
"GenericFallbackOnly","","Irrigation","Irrigation","Dubs Bad Hygiene","Dubwise.DubsBadHygiene","300","0","0","","0","0","","0","","0","","","0","","1","Plumbing"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_AdvancedArmor","Advanced mechanoid armor","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","800","0","0","","8","0","MU_ImproveLargeArmorTierB;MU_ImproveMediumArmorTierB;MU_ImproveSmallArmorTierB;MU_ImproveUltraArmorTierB;Make_MU_MechArmor_Large_A;Make_MU_MechArmor_Medium_A;Make_MU_MechArmor_Small_A;Make_MU_MechArmor_UltraLarge_A","4","MU_MechArmor_Large_A;MU_MechArmor_Medium_A;MU_MechArmor_Small_A;MU_MechArmor_UltraLarge_A","0","","","0","","2","MU_AdvancedUpgrades;MU_StandardArmor"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_AdvancedChips","Advanced mechanoid chips","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","850","0","0","","13","0","MU_ImproveChipTierB;Make_MU_MechChip_Aiming_A;Make_MU_MechChip_Dodge_A;Make_MU_MechChip_Energy_A;Make_MU_MechChip_GastroAnalize_A;Make_MU_MechChip_Medical_A;Make_MU_MechChip_Melee_A;Make_MU_MechChip_Production_A;Make_MU_MechChip_Range_A;Make_MU_MechChip_Ranged_A;Make_MU_MechChip_Reload_A;Make_MU_MechChip_Speed_A;Make_MU_MechChip_Work_A","12","MU_MechChip_Aiming_A;MU_MechChip_Dodge_A;MU_MechChip_Energy_A;MU_MechChip_GastroAnalize_A;MU_MechChip_Medical_A;MU_MechChip_Melee_A;MU_MechChip_Production_A;MU_MechChip_Range_A;MU_MechChip_Ranged_A;MU_MechChip_Reload_A;MU_MechChip_Speed_A;MU_MechChip_Work_A","0","","","0","","2","MU_AdvancedUpgrades;MU_StandardChips"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_AdvancedModules","Advanced mechanoid modules","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","900","0","0","","5","0","MU_ImproveModuleTierB;Make_MU_Module_Melee_A;Make_MU_Module_Ranged_A;Make_MU_Module_Repair_A;Make_MU_Module_Shield_A","4","MU_Module_Melee_A;MU_Module_Ranged_A;MU_Module_Repair_A;MU_Module_Shield_A","0","","","0","","2","MU_AdvancedUpgrades;MU_StandardModules"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_AdvancedShields","Advanced mechanoid shields","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","1250","0","0","","6","0","MU_ImproveLargeShieldTierB;MU_ImproveMediumShieldTierB;MU_ImproveSmallShieldTierB;Make_MU_Shield_Large_A;Make_MU_Shield_Medium_A;Make_MU_Shield_Small_A","3","MU_Shield_Large_A;MU_Shield_Medium_A;MU_Shield_Small_A","0","","","0","","2","MU_AdvancedUpgrades;MU_StandardShields"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_AdvancedUpgrades","Advanced upgrades","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","1650","0","0","","3","0","Make_MU_FrequencyAmplifier;Make_MU_LegActuators;Make_MU_UrchinSpawner","3","MU_FrequencyAmplifier;MU_LegActuators;MU_UrchinSpawner","0","","","0","","2","MU_StandardUpgrades;UltraMechtech"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_BasicArmor","Basic mechanoid armor","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","200","0","0","","4","0","Make_MU_MechArmor_Large_C;Make_MU_MechArmor_Medium_C;Make_MU_MechArmor_Small_C;Make_MU_MechArmor_UltraLarge_C","4","MU_MechArmor_Large_C;MU_MechArmor_Medium_C;MU_MechArmor_Small_C;MU_MechArmor_UltraLarge_C","0","","","0","","1","MU_BasicUpgrades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_BasicChips","Basic mechanoid chips","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","250","0","0","","9","0","Make_MU_MechChip_Aiming_C;Make_MU_MechChip_Dodge_C;Make_MU_MechChip_Energy_C;Make_MU_MechChip_Melee_C;Make_MU_MechChip_Range_C;Make_MU_MechChip_Ranged_C;Make_MU_MechChip_Reload_C;Make_MU_MechChip_Speed_C;Make_MU_MechChip_Work_C","9","MU_MechChip_Aiming_C;MU_MechChip_Dodge_C;MU_MechChip_Energy_C;MU_MechChip_Melee_C;MU_MechChip_Range_C;MU_MechChip_Ranged_C;MU_MechChip_Reload_C;MU_MechChip_Speed_C;MU_MechChip_Work_C","0","","","0","","1","MU_BasicUpgrades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_BasicModules","Basic mechanoid modules","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","300","0","0","","5","0","Make_MU_InvisibilityModule;Make_MU_Module_Melee_C;Make_MU_Module_Ranged_C;Make_MU_Module_Repair_C;Make_MU_Module_Shield_C","5","MU_InvisibilityModule;MU_Module_Melee_C;MU_Module_Ranged_C;MU_Module_Repair_C;MU_Module_Shield_C","0","","","0","","1","MU_BasicUpgrades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_BasicShields","Basic mechanoid shields","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","600","0","0","","3","0","Make_MU_Shield_Large_C;Make_MU_Shield_Medium_C;Make_MU_Shield_Small_C","3","MU_Shield_Large_C;MU_Shield_Medium_C;MU_Shield_Small_C","0","","","0","","2","MU_BasicUpgrades;ShieldBelt"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_Burners","Built-in burners","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","700","0","0","","6","0","Make_MU_BioferriteBurner;Make_MU_BioferriteFlamethrower;Make_MU_BioferriteMiniBurner;Make_MU_ChemfuelBurner;Make_MU_ChemfuelFlamethrower;Make_MU_ChemfuelMiniBurner","6","MU_BioferriteBurner;MU_BioferriteFlamethrower;MU_BioferriteMiniBurner;MU_ChemfuelBurner;MU_ChemfuelFlamethrower;MU_ChemfuelMiniBurner","0","","","0","","1","MU_BasicUpgrades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_CommandExtenders","Command repeaters","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","2000","0","0","","1","0","Make_MU_CommandPack","1","MU_CommandPack","0","","","0","","1","MU_StandardUpgrades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_Grenades","Mechanoid grenades","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","300","0","0","","3","0","Make_MU_EMPGrenades;Make_MU_FragGrenades;Make_MU_IncendiaryGrenades","3","MU_EMPGrenades;MU_FragGrenades;MU_IncendiaryGrenades","0","","","0","","1","MU_BasicUpgrades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_JumpLauncher","Mechanoid jump launcher","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","700","0","0","","1","0","Make_MU_JumpLauncher","1","MU_JumpLauncher","0","","","0","","1","MU_StandardUpgrades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_ShieldBooster","Shield booster","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","1000","0","0","","1","0","Make_MU_ShieldBooster","1","MU_ShieldBooster","0","","","0","","1","MU_AdvancedUpgrades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_StandardArmor","Standard mechanoid armor","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","550","0","0","","8","0","MU_ImproveLargeArmorTierC;MU_ImproveMediumArmorTierC;MU_ImproveSmallArmorTierC;MU_ImproveUltraLargeArmorTierC;Make_MU_MechArmor_Large_B;Make_MU_MechArmor_Medium_B;Make_MU_MechArmor_Small_B;Make_MU_MechArmor_UltraLarge_B","4","MU_MechArmor_Large_B;MU_MechArmor_Medium_B;MU_MechArmor_Small_B;MU_MechArmor_UltraLarge_B","0","","","0","","2","MU_BasicArmor;MU_StandardUpgrades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_StandardChips","Standard mechanoid chips","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","600","0","0","","13","0","MU_ImproveChipTierC;Make_MU_MechChip_Aiming_B;Make_MU_MechChip_Dodge_B;Make_MU_MechChip_Energy_B;Make_MU_MechChip_GastroAnalize_B;Make_MU_MechChip_Medical_B;Make_MU_MechChip_Melee_B;Make_MU_MechChip_Production_B;Make_MU_MechChip_Range_B;Make_MU_MechChip_Ranged_B;Make_MU_MechChip_Reload_B;Make_MU_MechChip_Speed_B;Make_MU_MechChip_Work_B","12","MU_MechChip_Aiming_B;MU_MechChip_Dodge_B;MU_MechChip_Energy_B;MU_MechChip_GastroAnalize_B;MU_MechChip_Medical_B;MU_MechChip_Melee_B;MU_MechChip_Production_B;MU_MechChip_Range_B;MU_MechChip_Ranged_B;MU_MechChip_Reload_B;MU_MechChip_Speed_B;MU_MechChip_Work_B","0","","","0","","2","MU_BasicChips;MU_StandardUpgrades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","MU_StandardModules","Standard mechanoid modules","Mechanoid Upgrades","GoGaTio.MechanoidUpgrades","650","0","0","","5","0","MU_ImproveModuleTierC;Make_MU_Module_Melee_B;Make_MU_Module_Ranged_B;Make_MU_Module_Repair_B;Make_MU_Module_Shield_B","4","MU_Module_Melee_B;MU_Module_Ranged_B;MU_Module_Repair_B;MU_Module_Shield_B","0","","","0","","2","MU_BasicModules;MU_StandardUpgrades"
